ALUTs,Registers,Logic Utilization,DSP Blocks,Memory Bits,RAM Blocks,Actual Clock Freq,Kernel fmax,1x clock fmax,ALMs needed [=A-B+C],ALMs used in final placement [=a+b+c+d],ALMs used for LUT logic & registers,ALMs used for LUT logic,ALMs used for registers,ALMs used for memory (up to half of total ALMs),Estimate of ALMs recoverable by dense packing,Due to LAB-wide signal conflicts,Due to LAB input limits,Total LABs: partially or completely used,Logic LABs,Memory LABs (up to half of total LABs),Combinational ALUT usage for logic,7 input functions,6 input functions,5 input functions,4 input functions,<=3 input functions,Memory ALUT usage,32-address deep,Dedicated logic registers,Primary logic registers,Design Implementation registers,M20K blocks,Total MLAB memory bits,Total block memory bits,Total block memory implementation bits,Total DSP Blocks,Total Fixed Point DSP Blocks,Total Floating Point DSP Blocks,Maximum fan-out,Total Fan-out,Average fan-out,Two Independent 18x18,Sum of two 18x18,Independent 27x27,Floating Point Multiplier,Floating Point Adder,Floating Point Addition of Products,Floating Point Vector Mode 1,Floating Point Vector Mode 2,Floating Point Accumulation of Products,Total Number of DSP Blocks,Fixed Point Signed Multiplier,Fixed Point Unsigned Multiplier,Fixed Point Mixed Sign Multiplier,Fixed Point Dedicated Output Adder Chain,Block Interconnects,C27 Interconnects,C4 interconnects,Direct Links,R3 Interconnects,R32 Interconnects,R32/C27 Interconnect drivers,R6 Interconnects
53734,115812,0.16,0.03,0.13,0.24,235.2941171,235.34,235.34,67100,0.17,13680,15052,41621,1230,0.02,74,19,0.34,14318,123,51482,98,8116,4948,8841,29479,2252,2252,115812,0.13,114083,0.24,65728,0.13,0.24,0.03,8,37,87291,1102093,5.68,4,4,0,9,4,24,0,0,0,45,0,12,0,0,0.08,0.28,0.09,0,0.09,0.26,0.06,0.1
43400,86943,0.13,0.01,0.15,0.23,270.1754379,270.27,270.27,55786,0.13,9899,13839,31446,450,0,5,11,0.23,9788,45,42584,121,6814,4212,8247,23190,816,816,86943,0.1,85214,0.23,23456,0.15,0.23,0.01,6,13,47452,894711,5.91,3,3,0,3,2,8,0,0,0,19,0,9,0,0,0.06,0.22,0.07,0,0.07,0.24,0.05,0.08
135210,299298,0.36,0.2,0.31,0.64,182.7160489,182.84,182.84,155320,0.45,37544,40337,106626,5830,0.09,271,103,0.79,33246,583,125672,2128,37434,9148,14656,62306,9538,9538,299298,0.34,297569,0.64,258360,0.31,0.64,0.2,8,289,360309,2848902,5.73,4,4,0,72,25,192,0,0,0,297,0,12,0,0,0.21,0.6,0.28,0.02,0.26,0.52,0.12,0.28
75712,137794,0.2,0.07,0.34,0.47,211.1111106,211.55,211.55,87476,0.23,16965,31277,49052,1470,0.04,37,116,0.46,19701,147,73612,1390,24023,9607,9360,29232,2100,2100,137794,0.15,136065,0.47,53504,0.34,0.47,0.07,6,97,134951,1599274,6.36,3,3,0,24,9,64,0,0,0,103,0,9,0,0,0.12,0.42,0.13,0.01,0.12,0.36,0.08,0.14
53330,110220,0.16,0.07,0.11,0.19,243.589743,244.43,244.43,66770,0.17,12293,17548,40489,1270,0.02,138,64,0.31,13274,127,51202,347,9818,6926,10198,23913,2128,2128,110220,0.12,108491,0.19,54528,0.11,0.19,0.07,6,97,66871,944154,5.22,3,3,0,24,9,64,0,0,0,103,0,9,0,0,0.08,0.22,0.08,0.01,0.08,0.25,0.05,0.09
100730,205737,0.26,0.14,0.12,0.28,179.999999,180.08,180.08,111612,0.3,27105,26421,71511,4760,0.05,405,33,0.55,23194,476,94874,560,16260,9889,13151,55014,5856,5856,205737,0.23,204008,0.28,121740,0.12,0.28,0.14,216,0,159537,1557628,4.72,167,49,0,0,0,0,0,0,0,216,0,265,0,0,0.13,0.31,0.15,0.02,0.15,0.3,0.07,0.15
68637,136588,0.19,0.03,0.15,0.25,236.1111105,236.23,236.23,79613,0.2,18114,17576,46462,3970,0.02,86,23,0.35,14500,397,63112,557,9399,6763,10348,36045,5525,5525,136588,0.15,134859,0.25,155169,0.15,0.25,0.03,30,11,107415,1236925,5.43,17,9,4,5,6,0,0,0,0,41,0,39,0,0,0.09,0.27,0.1,0.01,0.1,0.26,0.06,0.11
74699,149063,0.19,0.03,0.13,0.25,215.555555,215.65,215.65,82987,0.21,21172,17086,49772,3070,0.03,89,14,0.39,16345,307,69512,878,8766,6184,10393,43291,5187,5187,149063,0.17,147334,0.25,143519,0.13,0.25,0.03,38,11,125145,1303096,5.26,21,13,4,3,5,0,0,0,3,49,0,51,0,0,0.1,0.3,0.1,0.01,0.1,0.33,0.07,0.11
111841,223843,0.28,0.1,0.25,0.45,215.8148143,215.05,215.05,120771,0.33,30885,25832,75236,8840,0.06,297,40,0.59,24268,884,98722,563,16340,10440,14465,56914,13119,13119,223843,0.25,222114,0.45,342353,0.25,0.45,0.1,78,68,232632,2014592,5.41,44,24,10,24,12,32,0,0,0,146,0,102,0,0,0.15,0.41,0.17,0.02,0.17,0.42,0.09,0.18
222153,327259,0.43,0.16,0.07,0.16,229.3333327,229.46,229.46,183576,0.54,57633,60244,100760,11850,0.12,129,65,0.84,34575,1185,203364,295,56984,26774,33773,85538,18789,18789,327259,0.37,325530,0.16,122406,0.07,0.16,0.16,250,0,310014,2269051,4.02,1,1,248,0,0,0,0,0,0,250,0,251,0,62,0.22,0.39,0.22,0.04,0.2,0.37,0.09,0.21
